dataset,variant,retrieval_variant,renderer,relevance_mode,k,k_max,max_context_nodes,max_context_tokens,mean_context_recall,mean_context_precision,mean_context_f1,mean_context_hit,mean_anchor_recall,mean_anchor_precision,mean_anchor_f1,mean_anchor_hit,avg_context_size,avg_context_tokens,mean_context_recall_per_node,mean_context_recall_per_1k_tokens,avg_latency_ms,objective_before_refinement_mean,objective_after_refinement_mean,refinement_accept_rate,objective_support_spearman,context_node_budget_satisfied_rate,context_token_budget_satisfied_rate,missing_prediction_count,missing_anchor_key_count,anchor_non_empty_ratio
2wikimultihopqa,2wikimultihopqa_rho_current_refine_cell,sample_full_validation_refine_cell_renderer,cell_top_rho,current,3,4,8,512,0.5675,0.1720357142857143,0.25938095238095205,0.92,0.2175,0.1666666666666667,0.18514285714285716,0.46,7.93,340.59,0.07195535714285714,1.8700537473176022,1681.6958700000002,0.34460397233869455,0.3391930831381707,0.72,0.2421160071790646,1.0,1.0,0,0,1.0
2wikimultihopqa,2wikimultihopqa_rho_current_top_rho,top_rho,global_top_rho,current,3,4,8,512,0.5725,0.18344047619047618,0.27118253968253936,0.89,0.5025,0.3966666666666668,0.4337142857142852,0.85,7.52,342.82,0.07703273809523808,1.8973467361278227,4.836080000000001,0.3765475320174773,0.3765475320174773,0.0,-0.08361181779632262,1.0,1.0,0,0,1.0
2wikimultihopqa,2wikimultihopqa_rho_entity_title_aware_refine_cell,sample_full_validation_refine_cell_renderer,cell_top_rho,entity_title_aware,3,4,8,512,0.58,0.18047619047619048,0.2706161616161612,0.92,0.1275,0.09999999999999998,0.10971428571428575,0.25,7.59,478.88,0.07617559523809525,1.2430197152415061,1762.0618399999998,0.3644698766195404,0.3569004615934327,0.86,0.20687177829183612,1.0,1.0,0,0,1.0
2wikimultihopqa,2wikimultihopqa_rho_entity_title_aware_top_rho,top_rho,global_top_rho,entity_title_aware,3,4,8,512,0.6225,0.2429642857142856,0.33640404040404,0.97,0.63,0.48999999999999977,0.5399999999999993,0.98,6.54,489.79,0.10345238095238089,1.303012626961376,58.88915,0.4001661216016151,0.4001661216016151,0.0,0.0672135102831819,1.0,1.0,0,0,1.0
2wikimultihopqa,2wikimultihopqa_rho_hybrid_title_semantic_refine_cell,sample_full_validation_refine_cell_renderer,cell_top_rho,hybrid_title_semantic,3,4,8,512,0.5675,0.1849166666666666,0.27241991341991306,0.92,0.1,0.07666666666666666,0.08514285714285716,0.19,7.29,494.85,0.07738690476190474,1.1672621489740944,1933.581219999999,0.36792138136151936,0.36029974126599223,0.87,0.1987071158236802,1.0,1.0,0,0,1.0
2wikimultihopqa,2wikimultihopqa_rho_hybrid_title_semantic_top_rho,top_rho,global_top_rho,hybrid_title_semantic,3,4,8,512,0.635,0.2732142857142855,0.369186147186147,0.97,0.65,0.5133333333333332,0.5611428571428564,1.0,5.78,507.77,0.1167678571428571,1.2532229798503163,45.827919999999985,0.4071023515139876,0.4071023515139876,0.0,0.08166715767939099,1.0,1.0,0,0,1.0
2wikimultihopqa,2wikimultihopqa_rho_title_aware_refine_cell,sample_full_validation_refine_cell_renderer,cell_top_rho,title_aware,3,4,8,512,0.5675,0.1849166666666666,0.27241991341991306,0.92,0.1,0.07666666666666666,0.08514285714285716,0.19,7.29,494.85,0.07738690476190474,1.1672621489740944,1902.7313300000003,0.36792138136151936,0.36029974126599223,0.87,0.1987071158236802,1.0,1.0,0,0,1.0
2wikimultihopqa,2wikimultihopqa_rho_title_aware_top_rho,top_rho,global_top_rho,title_aware,3,4,8,512,0.635,0.2732142857142855,0.369186147186147,0.97,0.65,0.5133333333333332,0.5611428571428564,1.0,5.78,507.77,0.1167678571428571,1.2532229798503163,40.444289999999995,0.4071023515139876,0.4071023515139876,0.0,0.08166715767939099,1.0,1.0,0,0,1.0
2wikimultihopqa,component_full_validation_compact,sample_full_validation,cell_top_rho,title_aware,3,4,8,512,0.58,0.18541666666666665,0.2754826839826836,0.93,0.1525,0.11333333333333336,0.12800000000000006,0.3,7.41,488.92,0.0776190476190476,1.2110827099304047,1974.0104699999983,0.36792138136151936,0.36792138136151936,0.0,0.22286831304037932,1.0,1.0,0,0,1.0
2wikimultihopqa,component_refine_cell_compact,sample_full_validation_refine_cell_renderer,cell_top_rho,title_aware,3,4,8,512,0.5675,0.1849166666666666,0.27241991341991306,0.92,0.1,0.07666666666666666,0.08514285714285716,0.19,7.29,494.85,0.07738690476190474,1.1672621489740944,1920.888769999999,0.36792138136151936,0.36029974126599223,0.87,0.1987071158236802,1.0,1.0,0,0,1.0
