dataset,variant,retrieval_variant,renderer,relevance_mode,k,k_max,max_context_nodes,max_context_tokens,mean_context_recall,mean_context_precision,mean_context_f1,mean_context_hit,mean_anchor_recall,mean_anchor_precision,mean_anchor_f1,mean_anchor_hit,avg_context_size,avg_context_tokens,mean_context_recall_per_node,mean_context_recall_per_1k_tokens,avg_latency_ms,objective_before_refinement_mean,objective_after_refinement_mean,refinement_accept_rate,objective_support_spearman,context_node_budget_satisfied_rate,context_token_budget_satisfied_rate,missing_prediction_count,missing_anchor_key_count,anchor_non_empty_ratio
hotpotqa,component_full_validation_compact,sample_full_validation,cell_top_rho,title_aware,3,4,8,512,0.595,0.169797619047619,0.2635238095238092,0.86,0.16,0.1066666666666667,0.12800000000000006,0.3,7.0,504.05,0.0848988095238095,1.1847999669611928,1888.773,0.3732681011529394,0.3732681011529394,0.0,-0.10085313802220551,1.0,1.0,0,0,1.0
hotpotqa,component_refine_cell_compact,sample_full_validation_refine_cell_renderer,cell_top_rho,title_aware,3,4,8,512,0.56,0.1655119047619047,0.2546984126984125,0.82,0.13,0.08666666666666664,0.10400000000000004,0.25,6.63,504.64,0.08275595238095235,1.1128819148258544,1879.2189400000007,0.3732681011529394,0.3655264733257446,0.95,0.12083052923870151,1.0,1.0,0,0,1.0
hotpotqa,component_refine_compact,sample_full_validation_refine,cell_top_rho,title_aware,3,4,8,512,0.56,0.1655119047619047,0.2546984126984125,0.82,0.13,0.08666666666666664,0.10400000000000004,0.25,6.63,504.64,0.08275595238095235,1.1128819148258544,1787.6285600000003,0.3732681011529394,0.3655264733257446,0.95,0.12083052923870151,1.0,1.0,0,0,1.0
hotpotqa,component_sample_only_compact,sample_only,cell_top_rho,title_aware,3,4,8,512,0.615,0.17392857142857138,0.27017460317460285,0.86,0.14,0.09333333333333332,0.11200000000000004,0.26,7.1,502.56,0.08696428571428569,1.2267279613618116,1921.4915699999995,0.3801114530719506,0.3801114530719506,0.0,-0.0933719220110098,1.0,1.0,0,0,1.0
hotpotqa,component_top_rho_compact,top_rho,global_top_rho,title_aware,3,4,8,512,0.715,0.25234523809523796,0.369690476190476,0.93,0.635,0.4233333333333331,0.5079999999999992,0.9,5.8,505.99,0.12617261904761898,1.4140354325003386,20.742549999999998,0.4016505788514816,0.4016505788514816,0.0,0.04466688665872956,1.0,1.0,0,0,1.0
hotpotqa,hotpotqa_rho_current_refine_cell,sample_full_validation_refine_cell_renderer,cell_top_rho,current,3,4,8,512,0.635,0.16941666666666666,0.26699206349206317,0.88,0.26,0.1733333333333334,0.20799999999999996,0.45,7.51,480.69,0.08470833333333333,1.344502539045628,1932.697359999999,0.33816468182193177,0.3335086398680964,0.72,-0.009309070468861478,1.0,1.0,0,0,1.0
hotpotqa,hotpotqa_rho_current_top_rho,top_rho,global_top_rho,current,3,4,8,512,0.715,0.20222619047619042,0.3141031746031743,0.93,0.495,0.32999999999999985,0.3959999999999996,0.77,7.16,482.71,0.10111309523809521,1.50867725620752,5.7917,0.36106315925426435,0.36106315925426435,0.0,-0.05310501197810993,1.0,1.0,0,0,1.0
hotpotqa,hotpotqa_rho_entity_title_aware_refine_cell,sample_full_validation_refine_cell_renderer,cell_top_rho,entity_title_aware,3,4,8,512,0.535,0.15324999999999997,0.23753174603174576,0.81,0.16,0.10666666666666667,0.12800000000000006,0.31,6.93,500.39,0.07662499999999998,1.0714196958596283,1975.9584499999996,0.37056076047234626,0.3626947018222246,0.93,-0.1005819969545236,1.0,1.0,0,0,1.0
hotpotqa,hotpotqa_rho_entity_title_aware_top_rho,top_rho,global_top_rho,entity_title_aware,3,4,8,512,0.61,0.19205952380952376,0.2901111111111108,0.89,0.525,0.34999999999999987,0.41999999999999943,0.8,6.39,503.04,0.09602976190476188,1.2167387832172458,50.68624,0.4008448085110585,0.4008448085110585,0.0,-0.15696760230932646,1.0,1.0,0,0,1.0
hotpotqa,hotpotqa_rho_hybrid_title_semantic_refine_cell,sample_full_validation_refine_cell_renderer,cell_top_rho,hybrid_title_semantic,3,4,8,512,0.56,0.1655119047619047,0.2546984126984125,0.82,0.13,0.08666666666666664,0.10400000000000004,0.25,6.63,504.64,0.08275595238095235,1.1128819148258544,1742.4981599999999,0.3732681011529394,0.3655264733257446,0.95,0.12083052923870151,1.0,1.0,0,0,1.0
hotpotqa,hotpotqa_rho_hybrid_title_semantic_top_rho,top_rho,global_top_rho,hybrid_title_semantic,3,4,8,512,0.715,0.25234523809523796,0.369690476190476,0.93,0.635,0.4233333333333331,0.5079999999999992,0.9,5.8,505.99,0.12617261904761898,1.4140354325003386,38.16749,0.4016505788514816,0.4016505788514816,0.0,0.04466688665872956,1.0,1.0,0,0,1.0
hotpotqa,hotpotqa_rho_title_aware_refine_cell,sample_full_validation_refine_cell_renderer,cell_top_rho,title_aware,3,4,8,512,0.56,0.1655119047619047,0.2546984126984125,0.82,0.13,0.08666666666666664,0.10400000000000004,0.25,6.63,504.64,0.08275595238095235,1.1128819148258544,1950.1251800000016,0.3732681011529394,0.3655264733257446,0.95,0.12083052923870151,1.0,1.0,0,0,1.0
hotpotqa,hotpotqa_rho_title_aware_top_rho,top_rho,global_top_rho,title_aware,3,4,8,512,0.715,0.25234523809523796,0.369690476190476,0.93,0.635,0.4233333333333331,0.5079999999999992,0.9,5.8,505.99,0.12617261904761898,1.4140354325003386,42.55026999999999,0.4016505788514816,0.4016505788514816,0.0,0.04466688665872956,1.0,1.0,0,0,1.0
